dataset,dataset_display,target_note,n_points,n_attacks,n_archs,transfer_mean,transfer_median,transfer_std,transfer_q25,transfer_q75,stealth_auc_mean,stealth_auc_median,stealth_tpr_mean,stealth_tpr_median,stealth_mean_mean,asr_mean,asr_median,corr_transfer_stealth_auc,corr_transfer_stealth_mean,corr_transfer_asr
cifar10,CIFAR-10 -> STL-10,"train on CIFAR-10, test on STL-10",513,8,3,0.5927424502923977,0.664062,0.3377458265744565,0.301406,0.907656,0.32551355858988174,0.3519312596466465,0.5666063777722466,0.6074099878303199,0.44605996818106425,0.7196990576445748,0.8876685666620325,-0.7061113528546387,-0.7132733161767724,0.7784723861543233
tiny_imagenet,Tiny-ImageNet -> Target Domain,"train on Tiny-ImageNet, test on later generated target-domain",465,8,3,0.6697141849462366,0.81206,0.3495407649166386,0.415075,0.976884,0.3033537859546883,0.3059150658024558,0.620272119943389,0.688448901780502,0.4618129529490386,0.6799618078345259,0.8151218286862597,-0.7476754720006809,-0.6861685103612286,0.9654391822317292
mnistm,MNIST-M -> MNIST,"train on MNIST-M, test on MNIST",513,8,3,0.6031462261208577,0.83794,0.43190212345618817,0.024567,0.99986,0.4550521377682724,0.4841579880538724,0.6703034498043293,0.7009567307692308,0.5626777937863009,0.5340483008501463,0.597571189279732,-0.6986090239143484,-0.6737461898969067,0.9005457378174477
